accTradePrice,accTradeVolume,change,changePrice,date,foreignStraightPurchasePrice,individualStraightPurchasePrice,institutionStraightPurchasePrice,tradePrice
5373398,760777,FALL,7.79,2019-08-07 00:00:00,-97980977628,176924442075,-98993496249,1909.71
7179083,739588,FALL,29.48,2019-08-06 00:00:00,-605553038200,-443939223985,1033727530027,1917.5
6599770,639603,FALL,51.15,2019-08-05 00:00:00,-316921730824,-443678573896,735509370197,1946.98
5338221,438538,FALL,19.21,2019-08-02 00:00:00,-397933068513,14287893269,362568870372,1998.13
4443149,461743,FALL,7.21,2019-08-01 00:00:00,-5092952337,-87314908217,83630987901,2017.34
5532912,589386,FALL,14.13,2019-07-31 00:00:00,-49583350880,-77404357141,120876288754,2024.55
3877489,547029,RISE,9.2,2019-07-30 00:00:00,141017930442,-146922035051,3852103061,2038.68
4681216,608670,FALL,36.78,2019-07-29 00:00:00,-62489251406,-76722402182,135001794966,2029.48
5138752,589074,FALL,8.22,2019-07-26 00:00:00,118419478003,-22056026426,-103154160451,2066.26
5207429,598634,FALL,7.82,2019-07-25 00:00:00,112419778174,45734287679,-153627893831,2074.48
4233306,851392,FALL,19.15,2019-07-24 00:00:00,58544880573,53253266145,-113962559883,2082.3
4601029,648123,RISE,8.11,2019-07-23 00:00:00,285705105671,-283310817272,3663580547,2101.45
3206206,332629,FALL,1.02,2019-07-22 00:00:00,233499184472,-64682614027,-168552083597,2093.34
